Date,Cash Flow
2021-01-31,10000
2021-02-28,12000
2021-03-31,11000
2021-04-30,15000
2021-05-31,13000
2021-06-30,16000
2021-07-31,17000
2021-08-31,18000
2021-09-30,19000
2021-10-31,21000
2021-11-30,20000
2021-12-31,22000
2022-01-31,23000
2022-02-28,24000
2022-03-31,25000
2022-04-30,26000
2022-05-31,27000
2022-06-30,28000
2022-07-31,29000
2022-08-31,30000
2022-09-30,31000
2022-10-31,32000
2022-11-30,33000
2022-12-31,34000
2023-01-31,35000
2023-02-28,36000
2023-03-31,37000
2023-04-30,38000
2023-05-31,39000
2023-06-30,40000
2023-07-31,41000
2023-08-31,42000
2023-09-30,43000
2023-10-31,44000
2023-11-30,45000
2023-12-31,46000
2024-01-31,47000
2024-02-29,48000
2024-03-31,49000
2024-04-30,50000
2024-05-31,51000
2024-06-30,52000
2024-07-31,53000
2024-08-31,54000
2024-09-30,55000
2024-10-31,56000
2024-11-30,57000
2024-12-31,58000
